productpurchasemethod_product,productpurchasemethod_purchasemethod,productallergy_allergy,productallergy_product
1,2,1,1
2,,2,2
3,,3,3
4,,4,4
5,,5,5
6,,6,6
7,,7,7
8,,8,8
9,,9,9
10,,10,10
11,1,1,11
12,,2,12
13,,3,13
14,,4,14
15,,5,15
16,,6,16
17,,7,17
18,,8,18
19,,9,19
20,,10,20
11,2,1,11
12,,2,12
13,,3,13
14,,4,14
15,,5,15
16,,6,16
17,,7,17
18,,8,18
19,,9,19
20,,10,20
21,1,1,21
22,,2,22
23,,3,23
24,,4,24
25,,5,25
26,,6,26
27,,7,27
28,,8,28
29,,9,29
30,,10,30
21,2,1,21
22,,2,22
23,,3,23
24,,4,24
25,,5,25
26,,6,26
27,,7,27
28,,8,28
29,,9,29
30,,10,30
31,,1,31
32,,2,32
33,,3,33
34,,4,34
35,,5,35
36,,6,36
37,,7,37
38,,8,38
39,,9,39
40,,10,40
41,,1,41
42,,2,42
43,,3,43
44,,4,44
45,,5,45
46,,6,46
47,,7,47
48,,8,48
49,,9,49
50,,10,50